condition_id,period
0x239574fe1fe5754d6e0cc55cdffe30703e7f76ef29535c203e1290ed3a3433b0,6
0xc18ba87e0875499d07534b0cc91342669192176a232c6d4074bb02d928a3820c,6
0x21be7daceb0b5463e4affbbf2c66d100bb7d7d706c9851ea965f41ed8135f870,8
0x1126a26f1e9fe7a63b1e50621ad443057198bfce340a9a3c5af1906bca5f9b6a,6
0x36ad96d44eb72bf5e041158edd4d2eb0484828ae78ab1f1759fe281029223769,6
0xcc80c4b223a6ab45291b810fe0ddee07cadb67bc056f48d753cd09305849cffd,6
0x7557c61521f4837dfc35e4f28e633d1b44246795097345dca3a39a48740181cf,10
0xefee356c98f6352092cd3a837d9cef9ab003fd28e4339c5f6ba10237ddb12c51,8
0xf577e4a25596f628c2b8b222ef24a00cdf0a40f2ca373be1204a4c8a00ff77ef,10
0x77b2f29f9224c9153f60a7ccecb7297fa94f256ab76521b6767a80506771a774,6
0x82ea3694ec4efd2936ba6ba62846d960bd75eff594370981a04bb3e3b09a6d6d,41
0xc4d9010f3888cc68b8927a4e4ae8a76b2710a9ba61aef3b066a2e2c776ae115f,16
0x3c89bca9ceb8cc7011b5e908d73a8fd477e8adcb16089d7de5c8d3809a28a2cd,6
0x6036a50f1d17982bd212447da143a527bcb1a35569977c739e334eaaec591751,295
0x059587074168eba9515c62a56d16078e3255a6a24f111e78a07db0f9c1c5df26,25
0x06d61f6d94aef5fca99a25e0b4bbffd2434cc68e912453a17d5914ce8327f574,65
0x7311b36cd890fe5be0e45beda69ce2638357f4ff5f2b81dcff5cc5fdd0961b8e,7
0xa1e0c9d7d0e9a60bfca235ac43f17284654ae825e73808e41b1ad69f7dec85fd,110
0x6b060f4fbba9b9c69fc3c19f0545dc093e055bad0b6991c1712d9bce22ce63ba,35
0x71f3460fa5f38597f71a238d9642ae1eee33bfd787ae5b40dc3f8ca0b703ee17,5
0xf62e217fb457a2cedd9a653bcda57e88c3f3093a7a49aee65028146198f5208a,32
0xd9e7c08956988323e4579eb2eac43a8b8045a0222346acc128c481f004d6527d,9
